time,wx,wy,yaw,pitch,roll,imu_ax,imu_ay,imu_az
1774366922.133,-156.983,1.931,0.1518,0.0088,0.0093,-0.0845,0.0948,9.7978
1774366922.244,-156.934,1.939,0.1518,-0.0003,0.0095,0.0038,0.0967,9.7982
1774366922.357,-156.884,1.947,0.1518,-0.0101,0.0096,0.0991,0.0984,9.7977
1774366922.472,-156.835,1.954,0.1518,-0.0190,0.0098,0.1869,0.0996,9.7964
1774366922.587,-156.785,1.962,0.1518,-0.0287,0.0099,0.2817,0.1005,9.7941
1774366922.694,-156.736,1.969,0.1518,-0.0380,0.0099,0.3727,0.1013,9.7911
1774366922.800,-156.686,1.977,0.1518,-0.0430,0.0102,0.4211,0.1000,9.7902
1774366922.909,-156.637,1.984,0.1518,-0.0430,0.0102,0.4208,0.0999,9.7903
1774366923.021,-156.588,1.992,0.1518,-0.0430,0.0098,0.4207,0.0963,9.7904
1774366923.127,-156.538,2.000,0.1518,-0.0429,0.0091,0.4205,0.0891,9.7905
1774366923.241,-156.489,2.007,0.1518,-0.0429,0.0084,0.4204,0.0822,9.7906
1774366923.354,-156.439,2.015,0.1518,-0.0429,0.0077,0.4203,0.0753,9.7906
1774366923.470,-156.390,2.022,0.1518,-0.0429,0.0070,0.4202,0.0684,9.7907
1774366923.581,-156.340,2.030,0.1518,-0.0429,0.0063,0.4202,0.0618,9.7907
1774366923.689,-156.291,2.037,0.1518,-0.0429,0.0056,0.4201,0.0549,9.7908
1774366923.800,-156.242,2.045,0.1518,-0.0429,0.0049,0.4201,0.0480,9.7908
